uniqueid,sitetype2,orgunituid,sitename,snu1,snu2,psnu,snu1uid,psnuuid,snu2uid,diff_snu2,gis_na,lon,lat
1859,1,QUYIJA1ZS8h,Maria Mater Misericordiae Catholic Hospital - Oke-Idera,Ondo,Ondo west,on Ondo West,H7zZFfHCS3p,GAGxDMx8uvm,GAGxDMx8uvm,0,0,4.8355,7.07358
1860,1,Xubfc1xadN5,Moferere-Oja Comprehensive Health Center,Ondo,Ondo west,on Ondo West,H7zZFfHCS3p,GAGxDMx8uvm,GAGxDMx8uvm,0,0,4.83306,7.08306
1861,1,JKUabrYA2oL,State Specialist Hospital - Ondo,Ondo,Ondo west,on Ondo West,H7zZFfHCS3p,GAGxDMx8uvm,GAGxDMx8uvm,0,0,4.82604,7.0918
1862,1,l0oK5kCcifq,Mother And Child Hospital - Ondo,Ondo,Ondo west,on Ondo West,H7zZFfHCS3p,GAGxDMx8uvm,GAGxDMx8uvm,0,0,4.82778,7.08306
1863,1,R9sKiGC2aQS,Ido-Ani General Hospital,Ondo,Ose,on Ose,H7zZFfHCS3p,WLQLVZAd77i,WLQLVZAd77i,1,0,5.733741259,7.046462069
1864,1,aRt2sinKKTL,Ifon Basic Health Center,Ondo,Ose,on Ose,H7zZFfHCS3p,WLQLVZAd77i,WLQLVZAd77i,0,0,5.7775,6.92361
1865,1,jnZPTIbnS5X,Isaipen Basic Health Center,Ondo,Owo,on Owo,H7zZFfHCS3p,yQa2xS9x96u,yQa2xS9x96u,1,0,5.564154454,7.151130608
1866,1,uqUGRphflWb,Owo General Hospital,Ondo,Owo,on Owo,H7zZFfHCS3p,yQa2xS9x96u,yQa2xS9x96u,0,0,5.58306,7.18306
1867,1,Lf5dipBTT0Z,Federal Medical Center - Owo,Ondo,Owo,on Owo,H7zZFfHCS3p,yQa2xS9x96u,yQa2xS9x96u,0,0,5.59778,7.21692
1868,1,qoiO0tapOKa,Ede Specialist Hospital,Osun,Ede South,os Ede South,eGalRf62pxe,PWfDHBvn1hw,PWfDHBvn1hw,1,0,4.457406166,7.659712212
1869,1,u4jq9CmP9dk,Obafemi Awolowo University Teaching Hospital Complex,Osun,Ife Central,os Ife Central,eGalRf62pxe,tr5rm0vaxGG,tr5rm0vaxGG,0,0,4.5684,7.50819
1870,1,xGKk2hlvtUz,Seventh Day Adventist Hospital - Ile-Ife,Osun,Ife Central,os Ife Central,eGalRf62pxe,tr5rm0vaxGG,tr5rm0vaxGG,0,0,4.53987,7.48925
1871,1,hln2LIDV1Xl,Ila Orangun State Hospital,Osun,Ila,os Ila,eGalRf62pxe,k9ilIScUQLb,k9ilIScUQLb,0,0,4.90192,8.02232
1872,1,U2KKudmpuCO,Obajoko Ila Primary Health Care,Osun,Ila,os Ila,eGalRf62pxe,k9ilIScUQLb,k9ilIScUQLb,0,0,4.90488,8.0164
1873,1,bB280BqYDAd,Irojo Primary Health Center,Osun,Ilesha East,os Ilesha East,eGalRf62pxe,dxMNL5PwvQa,dxMNL5PwvQa,0,0,4.75096,7.60748
1874,1,RtMSqsVqT2L,Omoda Primary Health Care,Osun,Irewole,os Irewole,eGalRf62pxe,AIWlVFpaxFZ,AIWlVFpaxFZ,0,0,4.18425,7.36915
1875,1,gqn7FlDPWzJ,Ikire Specialist Hospital,Osun,Irewole,os Irewole,eGalRf62pxe,AIWlVFpaxFZ,AIWlVFpaxFZ,0,0,4.20037,7.37435
1876,1,NrAixqBOeRR,Catholic Hospital And Maternity - Okeola,Osun,Isokan,os Isokan,eGalRf62pxe,rhg7o351Ogx,rhg7o351Ogx,0,0,4.18586,7.35711
1877,1,rcGc224XPYp,St. Zeno Catholic Hospital - Iwo,Osun,Iwo,os Iwo,eGalRf62pxe,VWzOuFbOVsE,VWzOuFbOVsE,0,0,4.17014,7.63891
1878,1,RjMnBpvNTLM,State Hospital - Iwo,Osun,Iwo,os Iwo,eGalRf62pxe,VWzOuFbOVsE,VWzOuFbOVsE,0,0,4.20108,7.63194
1879,1,tuPG3r8X0RC,Our Lady of Fatima Catholic Hospital - Jaleyemi,Osun,Osogbo,os Osogbo,eGalRf62pxe,wLldH8OpVNF,wLldH8OpVNF,0,0,4.54857,7.76907
1880,1,mgEojaVd0QS,Ladoke Akintola Teaching Hospital - Oshogbo,Osun,Osogbo,os Osogbo,eGalRf62pxe,wLldH8OpVNF,wLldH8OpVNF,1,0,4.572448366,7.760986599
1881,1,nf8iMC6uQjS,Ilora Primary Health Center,Oyo,Afijio,oy Afijio,MLdHgMQUM3y,IlkoZAYAoQs,IlkoZAYAoQs,0,0,3.90393,7.80087
1882,1,Klu5oTZCxfx,Ilora General Hospital,Oyo,Afijio,oy Afijio,MLdHgMQUM3y,IlkoZAYAoQs,IlkoZAYAoQs,0,0,3.90325,7.8006
1883,1,fLGtJdQIfx4,Ojoo Primary Health Center,Oyo,Akinyele,oy Akinyele,MLdHgMQUM3y,vpR6qB6b19O,vpR6qB6b19O,0,0,3.91566,7.47101
1884,1,o9UJUeIeW6P,Moniya Primary Health Center,Oyo,Akinyele,oy Akinyele,MLdHgMQUM3y,vpR6qB6b19O,vpR6qB6b19O,0,0,3.90994,7.53185
1885,1,zLSVIa6jptU,Shasha Primary Health Center,Oyo,Akinyele,oy Akinyele,MLdHgMQUM3y,vpR6qB6b19O,vpR6qB6b19O,0,0,3.91393,7.48601
1886,1,yRbGgqKGLol,Oke Olola Primary Health Center,Oyo,Atiba,oy Atiba,MLdHgMQUM3y,vmUxBIASp0I,vmUxBIASp0I,1,0,3.904663189,8.248123959
1887,1,VFHmekMPH7g,Aafin Primary Health Center,Oyo,Atiba,oy Atiba,MLdHgMQUM3y,vmUxBIASp0I,vmUxBIASp0I,1,0,3.904663189,8.248123959
1888,1,UAkweLRXgy5,Oloya Primary Health Center,Oyo,Egbeda,oy Egbeda,MLdHgMQUM3y,zvDjtdkAuTP,zvDjtdkAuTP,1,0,4.065370582,7.387110362
1889,1,QdL8RSYxeLg,University College Hospital,Oyo,Ibadan North,oy Ibadan North,MLdHgMQUM3y,iydYKfCH5Cl,iydYKfCH5Cl,1,0,3.913544462,7.405504247
1890,1,IDTbUHFAKfU,Bashorun Oluwonla Primary Health Center,Oyo,Ibadan North,oy Ibadan North,MLdHgMQUM3y,iydYKfCH5Cl,iydYKfCH5Cl,1,0,3.913544462,7.405504247
1891,1,lUK0PY9z0dH,Idi Ogungun Primary Health Center,Oyo,Ibadan North,oy Ibadan North,MLdHgMQUM3y,iydYKfCH5Cl,iydYKfCH5Cl,0,0,3.91796,7.39502
1892,1,npsYuLNW7pO,Bodija Olive Primary Health Center,Oyo,Ibadan North,oy Ibadan North,MLdHgMQUM3y,iydYKfCH5Cl,iydYKfCH5Cl,1,0,3.913544462,7.405504247
1893,1,MamvPxaqiTG,Adeoyo Maternity Hospital,Oyo,Ibadan North,oy Ibadan North,MLdHgMQUM3y,iydYKfCH5Cl,iydYKfCH5Cl,0,0,3.89942,7.40195
1894,1,du2NydHQODD,Alafara Oje Primary Health Center,Oyo,Ibadan North East,oy Ibadan North-East,MLdHgMQUM3y,dFj2ILZVfUi,dFj2ILZVfUi,1,0,3.933537949,7.360316785
1895,1,L8ySVydOOzd,St. Peters General Hospital - Aremo,Oyo,Ibadan North East,oy Ibadan North-East,MLdHgMQUM3y,dFj2ILZVfUi,dFj2ILZVfUi,1,0,3.933537949,7.360316785
1896,1,WSxGzRDVpuS,Iwo Road Primary Health Center,Oyo,Ibadan North East,oy Ibadan North-East,MLdHgMQUM3y,dFj2ILZVfUi,dFj2ILZVfUi,1,0,3.933537949,7.360316785
1897,1,UvLPMR8H7Jz,Okeadu Primary Health Center,Oyo,Ibadan North East,oy Ibadan North-East,MLdHgMQUM3y,dFj2ILZVfUi,dFj2ILZVfUi,1,0,3.933537949,7.360316785
1898,1,SEiQ0JeZ4ZN,Ori Eru Primary Health Center,Oyo,Ibadan North West,oy Ibadan North-West,MLdHgMQUM3y,iZCbzoOssS4,iZCbzoOssS4,0,0,3.89127,7.38118
1899,1,In6vgIxH9xS,Ayeye Maternity Health Center,Oyo,Ibadan North West,oy Ibadan North-West,MLdHgMQUM3y,iZCbzoOssS4,iZCbzoOssS4,0,0,3.89378,7.38078
1900,1,D5KBMs5woXi,Oniyanrin Primary Health Center,Oyo,Ibadan North West,oy Ibadan North-West,MLdHgMQUM3y,iZCbzoOssS4,iZCbzoOssS4,0,0,3.89311,7.38962
1901,1,BQvikCG40GE,Odinjo Primary Health Center,Oyo,Ibadan South East,oy Ibadan South-East,MLdHgMQUM3y,CtGoE7JQAiX,CtGoE7JQAiX,1,0,3.912017676,7.327397339
1902,1,RoF7mIJrWT8,Molete Primary Health Center,Oyo,Ibadan South East,oy Ibadan South-East,MLdHgMQUM3y,CtGoE7JQAiX,CtGoE7JQAiX,1,0,3.912017676,7.327397339
1903,1,KQkFrGHr2F3,Boluwaji Primary Health Center,Oyo,Ibadan South East,oy Ibadan South-East,MLdHgMQUM3y,CtGoE7JQAiX,CtGoE7JQAiX,0,0,3.90575,7.34329
1904,1,ymmkhJyzzCM,Elekuro Primary Health Center,Oyo,Ibadan South East,oy Ibadan South-East,MLdHgMQUM3y,CtGoE7JQAiX,CtGoE7JQAiX,1,0,3.912017676,7.327397339
1905,1,Ysu6t7ZAvE1,Agbongbon Health Center,Oyo,Ibadan South East,oy Ibadan South-East,MLdHgMQUM3y,CtGoE7JQAiX,CtGoE7JQAiX,1,0,3.912017676,7.327397339
1906,1,ljnFSN5dej3,Oranyan Primary Health Center,Oyo,Ibadan South East,oy Ibadan South-East,MLdHgMQUM3y,CtGoE7JQAiX,CtGoE7JQAiX,1,0,3.912017676,7.327397339
1907,1,jyHRtpRCr7M,St. Mary's Catholic Hospital - Eleta,Oyo,Ibadan South East,oy Ibadan South-East,MLdHgMQUM3y,CtGoE7JQAiX,CtGoE7JQAiX,1,0,3.912017676,7.327397339
1908,1,MsWKOj2LI1c,Aperin Oniyere Primary Health Center,Oyo,Ibadan South East,oy Ibadan South-East,MLdHgMQUM3y,CtGoE7JQAiX,CtGoE7JQAiX,1,0,3.912017676,7.327397339
1909,1,DpCYi3E6I4c,Jericho Specialist Hospital,Oyo,Ibadan South West,oy Ibadan South-West,MLdHgMQUM3y,KCu09ZdJTEL,KCu09ZdJTEL,1,0,3.872451563,7.345688089
1910,1,oCR09FpTFh9,Ring Road State Hospital,Oyo,Ibadan South West,oy Ibadan South-West,MLdHgMQUM3y,KCu09ZdJTEL,KCu09ZdJTEL,0,0,3.86078,7.35393
1911,1,Xoshbh1bKhK,Adifase-Apata Primary Health Center,Oyo,Ibadan South West,oy Ibadan South-West,MLdHgMQUM3y,KCu09ZdJTEL,KCu09ZdJTEL,1,0,3.872451563,7.345688089
1912,1,ZQYdcyj8Urc,St. Anne's Anglican Hospital - Molete Ibadan,Oyo,Ibadan South West,oy Ibadan South-West,MLdHgMQUM3y,KCu09ZdJTEL,KCu09ZdJTEL,1,0,3.872451563,7.345688089
1913,1,NKj88oJ9ACq,Igbo-Ora General Hospital,Oyo,Ibarapa Central,oy Ibarapa Central,MLdHgMQUM3y,AZ20YeJChyC,AZ20YeJChyC,0,0,3.27681,7.44738
1914,1,NnaMUK7lUAl,Igbole Primary Health Center,Oyo,Ibarapa Central,oy Ibarapa Central,MLdHgMQUM3y,AZ20YeJChyC,AZ20YeJChyC,1,0,3.255072633,7.424178276
1915,1,KkGxjEL6xe4,Omi Adio Primary Health Center,Oyo,Ido,oy Ido,MLdHgMQUM3y,QiWl2gmww69,QiWl2gmww69,1,0,3.722778365,7.512129086
1916,1,uU3mfYyerBo,Apete Primary Health Center,Oyo,Ido,oy Ido,MLdHgMQUM3y,QiWl2gmww69,QiWl2gmww69,1,0,3.722778365,7.512129086
1917,1,CHOLZ7N4Nbp,Olorunsogo Model Primary Health Center,Oyo,Irepo,oy Irepo,MLdHgMQUM3y,fV2Ogk0TO7p,fV2Ogk0TO7p,0,0,3.85642,9.08157
1918,1,l7D0Lku4ECe,Kisi General Hospital,Oyo,Irepo,oy Irepo,MLdHgMQUM3y,fV2Ogk0TO7p,fV2Ogk0TO7p,0,0,3.83835,9.09123
1919,1,Inr4R6Tk5fE,Our Lady's Catholic Hospital - Iseyin,Oyo,Iseyin,oy Iseyin,MLdHgMQUM3y,ZA3JkbqwvuA,ZA3JkbqwvuA,1,0,3.532048911,7.857900854
1920,1,o9zWHFjhquv,Iseyin General Hospital,Oyo,Iseyin,oy Iseyin,MLdHgMQUM3y,ZA3JkbqwvuA,ZA3JkbqwvuA,0,0,3.6093,7.95417
1921,1,lTEWZfKTz3X,Otu Comprehensive Health Center,Oyo,Itesiwaju,oy Itesiwaju,MLdHgMQUM3y,Kcr5bLQVHEd,Kcr5bLQVHEd,0,0,3.41273,8.20492
1922,1,uvGJGWY57wX,Ipapo Primary Health Center,Oyo,Itesiwaju,oy Itesiwaju,MLdHgMQUM3y,Kcr5bLQVHEd,Kcr5bLQVHEd,0,0,3.50716,8.13643
1923,1,L0SpXvHcxlr,Okeho General Hospital,Oyo,Kajola,oy Kajola,MLdHgMQUM3y,XXgCDEMk4Ha,XXgCDEMk4Ha,0,0,3.35982,8.0323
1924,1,Nqd4Rx4KCmf,Iyana Church Primary Health Center,Oyo,Lagelu,oy Lagelu,MLdHgMQUM3y,sjFUh2vg03X,sjFUh2vg03X,0,0,3.97051,7.42028
1925,1,bXZx7WXtHkk,Alegongo Primary Health Center,Oyo,Lagelu,oy Lagelu,MLdHgMQUM3y,sjFUh2vg03X,sjFUh2vg03X,1,0,4.06530844,7.504817189
1926,1,QqqVjzHrEys,Monatan Primary Health Center,Oyo,Lagelu,oy Lagelu,MLdHgMQUM3y,sjFUh2vg03X,sjFUh2vg03X,0,0,3.95093,7.41391
1927,1,fjiKMWnNBwn,Ogbomosho State Hospital,Oyo,Ogbmosho South,oy Ogbomoso South,MLdHgMQUM3y,p7y3haZd6OO,p7y3haZd6OO,1,0,4.234818801,8.077902388
1928,1,dZoqWgPkpXi,Adebayo Alata Primary Health Center,Oyo,Ogbmosho South,oy Ogbomoso South,MLdHgMQUM3y,p7y3haZd6OO,p7y3haZd6OO,1,0,4.234818801,8.077902388
1929,1,howtD9nQh8e,Ijeru Primary Health Center,Oyo,Ogbmosho South,oy Ogbomoso South,MLdHgMQUM3y,p7y3haZd6OO,p7y3haZd6OO,1,0,4.234818801,8.077902388
1930,1,POQZq9yYHfm,Abogunde Baaki Health Center,Oyo,Ogbomosho North,oy Ogbomoso North,MLdHgMQUM3y,ELWNSBUCfD3,ELWNSBUCfD3,0,0,4.2522,8.12129
1931,1,ynsyxJ0lZB8,Katangua Primary Health Center,Oyo,Ogbomosho North,oy Ogbomoso North,MLdHgMQUM3y,ELWNSBUCfD3,ELWNSBUCfD3,0,0,4.26875,8.14751
1932,1,f91G0i0RdAV,Okelerin Primary Health Center,Oyo,Ogbomosho North,oy Ogbomoso North,MLdHgMQUM3y,ELWNSBUCfD3,ELWNSBUCfD3,0,0,4.24146,8.13422
1933,1,pEPN0Z3bAp1,Ikose Primary Health Center,Oyo,Ogbomosho North,oy Ogbomoso North,MLdHgMQUM3y,ELWNSBUCfD3,ELWNSBUCfD3,1,0,4.267710621,8.152490394
1934,1,ZpK48TCuLAi,Ojaigbo (Ibrahim Taiwo) Primary Health Center,Oyo,Ogbomosho North,oy Ogbomoso North,MLdHgMQUM3y,ELWNSBUCfD3,ELWNSBUCfD3,0,0,4.24788,8.13041
1935,1,ty9jMW3us5b,Igbeti General Hospital,Oyo,Olorunsogo,oy Olorunsogo,MLdHgMQUM3y,p3M4FdE8RkC,p3M4FdE8RkC,0,0,4.14727,8.73658
1936,1,gp5xo74SqKO,Adaramagbo Olomi Primary Health Center,Oyo,Oluyole,oy Oluyole,MLdHgMQUM3y,rWgqvOVxhQN,rWgqvOVxhQN,1,0,3.885695202,7.19589299
1937,1,gM1zDIOM7h4,Alapafon Primary Health Center,Oyo,Ona-Ara,oy Ona Ara,MLdHgMQUM3y,SMv1QuqswmC,SMv1QuqswmC,0,0,3.95738,7.3496
1938,1,K6oAJAHYX6N,Aba Emu Primary Health Center,Oyo,Ona-Ara,oy Ona Ara,MLdHgMQUM3y,SMv1QuqswmC,SMv1QuqswmC,0,0,3.96177,7.33957
1939,1,ZTgqPka0AYA,Alhaja Sarat Adesina Health Center - Ogbere Baba,Oyo,Ona-Ara,oy Ona Ara,MLdHgMQUM3y,SMv1QuqswmC,SMv1QuqswmC,1,0,4.040614316,7.266324421
1940,1,oXanQ9NfzcJ,Igboho General Hospital,Oyo,Orelope,oy Orelope,MLdHgMQUM3y,WZhoAUn8Opk,WZhoAUn8Opk,0,0,3.75058,8.84302
1941,1,jN3f776qJBx,Ikoyi-Ile Primary Health Center,Oyo,Ori Ire,oy Ori Ire,MLdHgMQUM3y,oJiN1pog19z,oJiN1pog19z,0,0,4.17513,8.24527
1942,1,fYmoCLvfEcv,Oba Adeyemi Primary Health Center,Oyo,Oyo East,oy Oyo East,MLdHgMQUM3y,RBnV0s4V6wj,RBnV0s4V6wj,1,0,4.025329712,7.874218532
1943,1,kgPjVzCl0lb,Iseke Maternity Center,Oyo,Oyo West,oy Oyo West,MLdHgMQUM3y,YMlSzHMFp3b,YMlSzHMFp3b,0,0,3.91739,7.83887
1944,1,dhw13NZ1dXs,Ogboro Primary Health Center,Oyo,Saki East,oy Saki East,MLdHgMQUM3y,UTmAHL0WmBn,UTmAHL0WmBn,0,0,3.60875,8.76773
1945,1,x6uBaUpHFXY,Baptist Medical Center - Saki,Oyo,Saki west,oy Saki West,MLdHgMQUM3y,leA9yz8ggzz,leA9yz8ggzz,0,0,3.39952,8.66212
1946,1,Bj87orelf78,Sango Primary Health Center,Oyo,Saki west,oy Saki West,MLdHgMQUM3y,leA9yz8ggzz,leA9yz8ggzz,0,0,3.40145,8.68296
1947,1,HUC75tHkfQZ,Isale Taba Model Primary Health Center,Oyo,Saki west,oy Saki West,MLdHgMQUM3y,leA9yz8ggzz,leA9yz8ggzz,0,0,3.39263,8.67
1948,1,OYVA8Ooxh0G,Baabo Primary Health Center,Oyo,Saki west,oy Saki West,MLdHgMQUM3y,leA9yz8ggzz,leA9yz8ggzz,0,0,3.37082,8.67809
1949,1,O6s6kaLSgEx,Iresa Adu Primary Health Center,Oyo,Surulere,oy Surulere,MLdHgMQUM3y,vO4O9o8Y2Be,vO4O9o8Y2Be,0,0,4.39014,8.08616
1950,1,nexePdGcEqe,Gambari Primary Health Center,Oyo,Surulere,oy Surulere,MLdHgMQUM3y,vO4O9o8Y2Be,vO4O9o8Y2Be,1,0,4.414121328,8.089309444
1951,1,HbuBf1D4gmG,Barkin Ladi General Hospital,Plateau,Barkin Ladi,pl Barkin Ladi,GAfGnvcVZ6k,gevUQQwMYsl,gevUQQwMYsl,0,0,8.90683,9.53343
1952,1,zzxXMjcoHez,Evangelical Church of West Africa (Ecwa) Health Clinic - Miango,Plateau,Bassa,pl Bassa,GAfGnvcVZ6k,fRmH1IcpdA7,fRmH1IcpdA7,0,0,8.68182,9.85158
1953,1,Le18r1aY7bi,Seventh Day Adventist (Sda) Hospital - Jengre,Plateau,Bassa,pl Bassa,GAfGnvcVZ6k,fRmH1IcpdA7,fRmH1IcpdA7,0,0,8.80426,10.24422
1954,1,U0lOcVhCtvX,Church of Christ In Nigeria (Cocin) Primary Health Center - Daffo,Plateau,Bokkos,pl Bokkos,GAfGnvcVZ6k,D1XE609n41l,D1XE609n41l,0,0,8.84417,9.22143
1955,1,Ci4IlJo0THV,Angware General Hospital,Plateau,Jos East,pl Jos East,GAfGnvcVZ6k,txdQuyYCpbb,txdQuyYCpbb,0,0,9.10019,9.99295
1956,1,gIwyL7hTdGY,Our Lady of Apostle (Ola) Hospital - Jos,Plateau,Jos North,pl Jos North,GAfGnvcVZ6k,Kxb2aLH6aQE,Kxb2aLH6aQE,0,0,8.88432,9.92976
1957,1,CvVzWAc0dLb,Faith Alive Foundation,Plateau,Jos North,pl Jos North,GAfGnvcVZ6k,Kxb2aLH6aQE,Kxb2aLH6aQE,0,0,8.88234,9.92787
1958,1,E9tGyQQHvLk,Dogon Agogo Primary Health Center,Plateau,Jos North,pl Jos North,GAfGnvcVZ6k,Kxb2aLH6aQE,Kxb2aLH6aQE,0,0,8.89132,9.92641
1959,1,OdFD1NyelFa,Solat Women Hospital,Plateau,Jos North,pl Jos North,GAfGnvcVZ6k,Kxb2aLH6aQE,Kxb2aLH6aQE,0,0,8.8855,9.91972
1960,1,gTSFUf3vFl3,Evangelical Church of West Africa (Ecwa) Health Clinic - Tudun Wada,Plateau,Jos North,pl Jos North,GAfGnvcVZ6k,Kxb2aLH6aQE,Kxb2aLH6aQE,0,0,8.87166,9.89859
1961,1,ugfwVdwIuIj,Plateau State Specialist Hospital,Plateau,Jos North,pl Jos North,GAfGnvcVZ6k,Kxb2aLH6aQE,Kxb2aLH6aQE,0,0,8.88398,9.89635
1962,1,UJA7SoZC1Of,Evangelical Church of West Africa (Ecwa) Health Clinic - Zabolo,Plateau,Jos North,pl Jos North,GAfGnvcVZ6k,Kxb2aLH6aQE,Kxb2aLH6aQE,1,0,8.905008338,9.935085241
1963,1,VyC5Ah2sxMg,Bingham University Teaching Hospital,Plateau,Jos North,pl Jos North,GAfGnvcVZ6k,Kxb2aLH6aQE,Kxb2aLH6aQE,1,0,8.905008338,9.935085241
1964,1,cdyDfwVgnJF,Tundun Wada Primary Health Center,Plateau,Jos North,pl Jos North,GAfGnvcVZ6k,Kxb2aLH6aQE,Kxb2aLH6aQE,0,0,8.8683,9.90564
1965,1,dtgqizrS1Me,Jos University Teaching Hospital,Plateau,Jos North,pl Jos North,GAfGnvcVZ6k,Kxb2aLH6aQE,Kxb2aLH6aQE,0,0,8.89356,9.91812
1966,1,Xbj7dbNE0vR,Rayfield Primary Health Center,Plateau,Jos South,pl Jos South,GAfGnvcVZ6k,zBpF1qbeHxk,zBpF1qbeHxk,0,0,8.8897,9.83032
1967,1,wyclwPixYHK,Bukuru Express Primary Health Center,Plateau,Jos South,pl Jos South,GAfGnvcVZ6k,zBpF1qbeHxk,zBpF1qbeHxk,0,0,8.85932,9.79583
1968,1,KliDyHkXDRm,Dadin Kowa Comprehensive Health Center,Plateau,Jos South,pl Jos South,GAfGnvcVZ6k,zBpF1qbeHxk,zBpF1qbeHxk,0,0,8.86675,9.85147
1969,1,fEPSauwf6T7,Vom Christian Hospital,Plateau,Jos South,pl Jos South,GAfGnvcVZ6k,zBpF1qbeHxk,zBpF1qbeHxk,0,0,8.74793,9.68783
1970,1,n3n9tC9qDI4,Evangelical Church of West Africa (Ecwa) Comprehensive Hospital - Bukuru,Plateau,Jos South,pl Jos South,GAfGnvcVZ6k,zBpF1qbeHxk,zBpF1qbeHxk,1,0,8.832827926,9.750053873
1971,1,kXMpdZaDwxW,Church of Christ In Nigeria (Cocin) Clinic - Gyel-Bukuru,Plateau,Jos South,pl Jos South,GAfGnvcVZ6k,zBpF1qbeHxk,zBpF1qbeHxk,0,0,8.85647,9.78797
1972,1,wZ4FJfYUSXp,Dengi General Hospital,Plateau,Kanam,pl Kanam,GAfGnvcVZ6k,KW1MmI5AJ5C,KW1MmI5AJ5C,1,0,10.09786119,9.498948815
1973,1,y2m23OqDcyQ,Amper Model Primary Health Care Center,Plateau,Kanke,pl Kanke,GAfGnvcVZ6k,h4GiCPKLpaj,h4GiCPKLpaj,1,0,9.629992625,9.388157879
1974,1,eSv0mvAmyC2,Kyankyang Primary Health Care Center,Plateau,Kanke,pl Kanke,GAfGnvcVZ6k,h4GiCPKLpaj,h4GiCPKLpaj,1,0,9.629992625,9.388157879
1975,1,OvInoMK6oef,Dawaki Primary Health Care Center,Plateau,Kanke,pl Kanke,GAfGnvcVZ6k,h4GiCPKLpaj,h4GiCPKLpaj,1,0,9.629992625,9.388157879
1976,1,XoodAFXuLoR,Amper Central Primary Health Care Center,Plateau,Kanke,pl Kanke,GAfGnvcVZ6k,h4GiCPKLpaj,h4GiCPKLpaj,1,0,9.629992625,9.388157879
1977,1,c1sMFxI54cS,Zamko Comprehensive Health Center,Plateau,Langtang North,pl Langtang North,GAfGnvcVZ6k,giwECr4xdr7,giwECr4xdr7,0,0,9.84743,8.9902
1978,1,KSn1AS9deG0,Mabudi Primary Health Care Center,Plateau,Langtang South,pl Langtang South,GAfGnvcVZ6k,ol9Cy7ZHtmM,ol9Cy7ZHtmM,1,0,9.813451688,8.596244191
1979,1,zIBCQR2BIxA,Wubang Primary Health Care Center,Plateau,Langtang South,pl Langtang South,GAfGnvcVZ6k,ol9Cy7ZHtmM,ol9Cy7ZHtmM,1,0,9.813451688,8.596244191
1980,1,v9WcV8UHXKV,Kerang Primary Health Center,Plateau,Mangu,pl Mangu,GAfGnvcVZ6k,vnYPxzWEwMO,vnYPxzWEwMO,0,0,9.2117,9.34347
1981,1,n7H11XCfDQT,Ccdp Hospital - Panyam,Plateau,Mangu,pl Mangu,GAfGnvcVZ6k,vnYPxzWEwMO,vnYPxzWEwMO,0,0,9.20529,9.41586
1982,1,Ylm55YT8Uc6,Church of Christ In Nigeria (Cocin) Hospital And Rehabilitation Center,Plateau,Mangu,pl Mangu,GAfGnvcVZ6k,vnYPxzWEwMO,vnYPxzWEwMO,0,0,9.18206,9.50891
1983,1,eAM9CE6xQD6,Mangu General Hospital,Plateau,Mangu,pl Mangu,GAfGnvcVZ6k,vnYPxzWEwMO,vnYPxzWEwMO,0,0,9.1613,9.47533
1984,1,zJjEv6wh2yR,Garkawa Ii Primary Health Care Center,Plateau,Mikang,pl Mikang,GAfGnvcVZ6k,DU7QFC4eurr,DU7QFC4eurr,1,0,9.599017835,9.01053075
1985,1,LAzfkJ5YZG1,Tunkus General Hospital,Plateau,Mikang,pl Mikang,GAfGnvcVZ6k,DU7QFC4eurr,DU7QFC4eurr,0,0,9.36156,9.00917
1986,1,wi7IBJsbIpw,Zomo Primary Health Care Center,Plateau,Mikang,pl Mikang,GAfGnvcVZ6k,DU7QFC4eurr,DU7QFC4eurr,1,0,9.599017835,9.01053075
1987,1,kQOwyChcUxY,Town Clinic Primary Health Center,Plateau,Pankshin,pl Pankshin,GAfGnvcVZ6k,VsRXIP925Kr,VsRXIP925Kr,0,0,9.43902,9.32519
1988,1,a9QRiuuNaRv,Pankshin General Hospital,Plateau,Pankshin,pl Pankshin,GAfGnvcVZ6k,VsRXIP925Kr,VsRXIP925Kr,0,0,9.41422,9.33226
1989,1,Axs1Yufa0Pp,Kwalla General Hospital,Plateau,Qua??????an Pan,pl Qua'an Pan,GAfGnvcVZ6k,iWTaRRoO3JH,iWTaRRoO3JH,0,0,9.28875,8.91657
1990,1,BQ6ZqTIJDra,St. Virgillus Catholic Rural Health Center,Plateau,Qua??????an Pan,pl Qua'an Pan,GAfGnvcVZ6k,iWTaRRoO3JH,iWTaRRoO3JH,0,0,9.09398,8.6594
1991,1,RqrbqtO8Pas,Shendam a Primary Health Center,Plateau,Shendam,pl Shendam,GAfGnvcVZ6k,xcD0RUmcq3U,xcD0RUmcq3U,0,0,9.54029,8.87906
1992,1,TGsy8pKsBgj,May Hospital - Shendam,Plateau,Shendam,pl Shendam,GAfGnvcVZ6k,xcD0RUmcq3U,xcD0RUmcq3U,0,0,9.54452,8.87635
1993,1,PNKTMI5HPYc,Demshin Primary Health Center,Plateau,Shendam,pl Shendam,GAfGnvcVZ6k,xcD0RUmcq3U,xcD0RUmcq3U,0,0,9.4489,8.68896
1994,1,AlAZ1hJCw9t,Shendam B Primary Health Center,Plateau,Shendam,pl Shendam,GAfGnvcVZ6k,xcD0RUmcq3U,xcD0RUmcq3U,0,0,9.54026,8.87369
